suburb,year_2006,year_2011,year_2016,year_2021
Acton,0.0,0.0,0.0,0.0
Ainslie,0.016198189614101955,0.012195121951219513,0.01845342706502636,0.014543851917144116
Amaroo,0.0021344717182497333,0.0,0.00205761316872428,0.0013953488372093023
Aranda,0.0,0.0,0.003157894736842105,0.0
Banks,0.0016901408450704226,0.0033076074972436605,0.00544069640914037,0.0032171581769436996
Barton,0.0,0.0,0.0,0.0
Belconnen,0.001800720288115246,0.006538796861377506,0.003624282694050136,0.005697404515720616
Bonner,0.0,0.0,0.013888888888888888,0.029884032114183764
Bonython,0.0,0.0,0.0,0.0
Braddon,0.025172754195459033,0.0129136400322841,0.010823220728107576,0.009386281588447653
Bruce,0.0,0.006278026905829596,0.0060888252148997134,0.004693261816962789
Calwell,0.0,0.0,0.0013972985561248254,0.00186219739292365
Campbell,0.0038809831824062097,0.007078507078507079,0.001878522229179712,0.006645817044566067
Chapman,0.0,0.0,0.0,0.0027675276752767526
Charnwood,0.0,0.0023734177215189874,0.0,0.008613938919342208
Chifley,0.002819548872180451,0.0,0.00264783759929391,0.0041876046901172526
Chisholm,0.0,0.002099737532808399,0.0035879036391594054,0.0020191822311963654
City,0.01364522417153996,0.01103230890464933,0.0,0.00274079874706343
Conder,0.0,0.00333889816360601,0.006010928961748634,0.01788617886178862
Cook,0.0,0.0,0.0,0.0022304832713754648
Curtin,0.0013850415512465374,0.0013882461823229986,0.0018604651162790699,0.003634711494775102
Deakin,0.0,0.0,0.0,0.00646551724137931
Dickson,0.010787486515641856,0.010826771653543307,0.004659832246039142,0.004884004884004884
Downer,0.0026333113890717576,0.003232062055591467,0.0,0.009449694274596998
Duffy,0.0024958402662229617,0.0,0.0,0.002257336343115124
Dunlop,0.0,0.0015860428231562252,0.0011732499022291747,0.0011695906432748538
Evatt,0.002965892239248641,0.001455604075691412,0.0,0.0024189646831156266
Fadden,0.0,0.0,0.0,0.0
Farrer,0.0030372057706909645,0.005925925925925926,0.0,0.0
Fisher,0.0,0.006051437216338881,0.003110419906687403,0.006756756756756757
Florey,0.0015552099533437014,0.0020273694880892043,0.0015205271160669033,0.0045708481462671405
Flynn,0.0,0.0030557677616501145,0.003189792663476874,0.0
Forrest,0.0,0.005908419497784343,0.0,0.0
Franklin,,0.0,0.0,0.0035087719298245615
Fraser,0.0,0.0,0.0,0.0
Fyshwick,0.0,,0.0,0.0
Garran,0.002243829468960359,0.007462686567164179,0.00370919881305638,0.0
Gilmore,0.0,0.0,0.0049800796812749,0.0
Giralang,0.0,0.0,0.003125,0.002329192546583851
Gordon,0.0020797227036395147,0.0,0.006695681285570807,0.001976284584980237
Gowrie,0.0,0.0,0.0,0.0
Greenway,0.0,0.0,0.0,0.003305785123966942
Griffith,0.006310679611650485,0.004225352112676056,0.0,0.0
Gungahlin,0.0025252525252525255,0.007279344858962694,0.01072041166380789,0.007932166301969365
Hackett,0.009237875288683603,0.006134969325153374,0.00392156862745098,0.006859756097560976
Hall,0.0,0.0,0.0,0.0
Harrison,0.0,0.013468013468013467,0.0035574528637495554,0.01200800533689126
Hawker,0.002390438247011952,0.005511811023622047,0.007125890736342043,0.0031397174254317113
Higgins,0.0,0.0,0.0024193548387096775,0.0060377358490566035
Holder,0.0,0.002640845070422535,0.00441306266548985,0.0
Holt,0.002319109461966605,0.010973936899862825,0.00819672131147541,0.01392203659506762
Hughes,0.0024691358024691358,0.002459016393442623,0.00494641384995878,0.00558659217877095
Hume,0.0,0.0,,0.0
Isaacs,0.0,0.003067484662576687,0.003051881993896236,0.006030150753768844
Isabella Plains,0.0,0.0019011406844106464,0.0,0.0029205607476635513
Kaleen,0.002178649237472767,0.0025134649910233393,0.0021629416005767843,0.008298755186721992
Kambah,0.001658374792703151,0.00244140625,0.0021480502313284866,0.00489344909234412
Kingston,0.0017804154302670622,0.0,0.0017543859649122807,0.0007130972189208462
Latham,0.0,0.0,0.0,0.0046822742474916385
Lawson,,,0.0,0.00821917808219178
Lyneham,0.0068796068796068794,0.011157601115760111,0.0049261083743842365,0.006583506583506584
Lyons,0.004803843074459567,0.00523168908819133,0.005901639344262295,0.004581151832460733
Macarthur,0.0,0.0,0.0,0.0
Macgregor,0.0,0.0,0.001539645881447267,0.0015020653398422831
Macquarie,0.002926829268292683,0.0026761819803746653,0.0,0.004135079255685734
Mawson,0.002204261572373255,0.0020491803278688526,0.004002668445630421,0.0019404915912031048
McKellar,0.003194888178913738,0.0029354207436399216,0.0038948393378773127,0.0048638132295719845
Melba,0.0,0.0,0.0,0.009295120061967466
Mitchell,0.0,0.0,,0.0
Monash,0.0014858841010401188,0.006021306160259379,0.0040853381752156154,0.0026223776223776225
Narrabundah,0.014268727705112961,0.012885591565794611,0.018242740134028296,0.023222579492675956
Ngunnawal,0.0019390581717451524,0.0013861935126143609,0.000962000962000962,0.0027643400138217
Nicholls,0.0,0.001267962806424345,0.0,0.0012515644555694619
O'Connor,0.006741573033707865,0.005494505494505495,0.0070160957490713995,0.011966493817311527
O'Malley,0.0,0.009230769230769232,0.0,0.0
Oaks Estate,0.0,0.08287292817679558,0.054945054945054944,0.06046511627906977
Oxley,0.0,0.0,0.0,0.009244992295839754
Page,0.007525083612040134,0.010383386581469648,0.012307692307692308,0.0053475935828877
Palmerston,0.0013780431786862655,0.0,0.0,0.002748511223087494
Parkes,,,0.0,0.0
Pearce,0.024,0.024390243902439025,0.02408563782337199,0.022336769759450172
Phillip,0.003115264797507788,0.0023112480739599386,0.002328288707799767,0.001652892561983471
Pialligo,0.0,0.0,0.0,0.0
Red Hill,0.016,0.011023622047244094,0.008620689655172414,0.0
Reid,0.009183673469387756,0.006607929515418502,0.018274111675126905,0.0088008800880088
Richardson,0.005998286203941731,0.004332755632582322,0.005982905982905983,0.002533783783783784
Rivett,0.0,0.0,0.0029498525073746312,0.009305654974946313
Russell,,,,0.0
Scullin,0.0024057738572574178,0.003179650238473768,0.0023847376788553257,0.00548159749412686
Spence,0.0030864197530864196,0.003051881993896236,0.005045408678102927,0.004012036108324975
Stirling,0.011152416356877323,0.006067961165048544,0.0036275695284159614,0.0
Symonston,0.0,0.0,0.0,0.0
Tharwa,0.0,0.015873015873015872,0.0,0.0
Theodore,0.0,0.0,0.0,0.0
Torrens,0.0,0.0,0.004509582863585118,0.0032537960954446853
Turner,0.0016685205784204673,0.0029211295034079843,0.0021929824561403508,0.0011966493817311527
Wanniassa,0.0013218770654329147,0.0026101141924959217,0.00327653997378768,0.003837543971858011
Waramanga,0.0,0.003469210754553339,0.0051635111876075735,0.007563025210084034
Watson,0.001937046004842615,0.0013066202090592336,0.003827018752391887,0.003401360544217687
Weetangera,0.0,0.0,0.0,0.0
Weston,0.0036258158085569255,0.012977649603460706,0.0,0.010572139303482588
Yarralumla,0.0022727272727272726,0.004573170731707317,0.006396588486140725,0.0063025210084033615
Casey,,0.0,0.0,0.003849443969204448
Crace,,0.03680981595092025,0.012455516014234875,0.0269209197980931
Forde,,0.004597701149425287,0.006228373702422145,0.011042097998619738
Beard,,,,
Canberra Airport,,,0.0,0.0
Capital Hill,,,,0.0
Coombs,,,0.0,0.002641310089804543
Denman Prospect,,,,0.004633920296570899
Jacka,,,0.012244897959183673,0.043137254901960784
Molonglo,,,,
Moncrieff,,,0.0,0.005827505827505828
Throsby,,,,0.006631299734748011
Uriarra Village,,,0.0,0.0
Wright,,,0.0,0.002466091245376079
Macnamara,,,,
Strathnairn,,,,0.0
Taylor,,,,0.008784773060029283
Whitlam,,,,
