POA_CODE_2021,A0_14_SEO_B_05,A0_14_SEO_05_10,A0_14_SEO_11_15,A0_14_SEO_16,A0_14_SEO_17,A0_14_SEO_18,A0_14_SEO_19,A0_14_SEO_20,A0_14_SEO_21,A0_14_SEO_YNS,A0_14_SEO_T,A0_14_UOLSE_VWW_B_05,A0_14_UOLSE_VWW_05_10,A0_14_UOLSE_VWW_11_15,A0_14_UOLSE_VWW_16,A0_14_UOLSE_VWW_17,A0_14_UOLSE_VWW_18,A0_14_UOLSE_VWW_19,A0_14_UOLSE_VWW_20,A0_14_UOLSE_VWW_21,A0_14_UOLSE_VWW_YNS,A0_14_UOLSE_VWW_T,A0_14_UOLSE_NWNAA_B_05,A0_14_UOLSE_NWNAA_05_10,A0_14_UOLSE_NWNAA_11_15,A0_14_UOLSE_NWNAA_16,A0_14_UOLSE_NWNAA_17,A0_14_UOLSE_NWNAA_18,A0_14_UOLSE_NWNAA_19,A0_14_UOLSE_NWNAA_20,A0_14_UOLSE_NWNAA_21,A0_14_UOLSE_NWNAA_YNS,A0_14_UOLSE_NWNAA_T,A0_14_UOLSE_PinE_NS_B_05,A0_14_UOLSE_PinE_NS_05_10,A0_14_UOLSE_PinE_NS_11_15,A0_14_UOLSE_PinE_NS_16,A0_14_UOLSE_PinE_NS_17,A0_14_UOLSE_PinE_NS_18,A0_14_UOLSE_PinE_NS_19,A0_14_UOLSE_PinE_NS_20,A0_14_UOLSE_PinE_NS_21,A0_14_UOLSE_PinE_NS_YNS,A0_14_UOLSE_PinE_NS_T,A0_14_UOLSE_T_B_05,A0_14_UOLSE_T_05_10,A0_14_UOLSE_T_11_15,A0_14_UOLSE_T_16,A0_14_UOLSE_T_17,A0_14_UOLSE_T_18,A0_14_UOLSE_T_19,A0_14_UOLSE_T_20,A0_14_UOLSE_T_21,A0_14_UOLSE_T_YNS,A0_14_UOLSE_T_T,A0_14_L_PinE_NS_B_05,A0_14_L_PinE_NS_05_10,A0_14_L_PinE_NS_11_15,A0_14_L_PinE_NS_16,A0_14_L_PinE_NS_17,A0_14_L_PinE_NS_18,A0_14_L_PinE_NS_19,A0_14_L_PinE_NS_20,A0_14_L_PinE_NS_21,A0_14_L_PinE_NS_YNS,A0_14_L_PinE_NS_T,A0_14_T_B_05,A0_14_T_05_10,A0_14_T_11_15,A0_14_T_16,A0_14_T_17,A0_14_T_18,A0_14_T_19,A0_14_T_20,A0_14_T_21,A0_14_T_YNS,A0_14_T_T,A15_24_SEO_B_05,A15_24_SEO_05_10,A15_24_SEO_11_15,A15_24_SEO_16,A15_24_SEO_17,A15_24_SEO_18,A15_24_SEO_19,A15_24_SEO_20,A15_24_SEO_21,A15_24_SEO_YNS,A15_24_SEO_T,A15_24_UOLSE_VWW_B_05,A15_24_UOLSE_VWW_05_10,A15_24_UOLSE_VWW_11_15,A15_24_UOLSE_VWW_16,A15_24_UOLSE_VWW_17,A15_24_UOLSE_VWW_18,A15_24_UOLSE_VWW_19,A15_24_UOLSE_VWW_20,A15_24_UOLSE_VWW_21,A15_24_UOLSE_VWW_YNS,A15_24_UOLSE_VWW_T,A15_24_UOLSE_NWNAA_B_05,A15_24_UOLSE_NWNAA_05_10,A15_24_UOLSE_NWNAA_11_15,A15_24_UOLSE_NWNAA_16,A15_24_UOLSE_NWNAA_17,A15_24_UOLSE_NWNAA_18,A15_24_UOLSE_NWNAA_19,A15_24_UOLSE_NWNAA_20,A15_24_UOLSE_NWNAA_21,A15_24_UOLSE_NWNAA_YNS,A15_24_UOLSE_NWNAA_T,A15_24_UOLSE_PinE_NS_B_05,A15_24_UOLSE_PinE_NS_05_10,A15_24_UOLSE_PinE_NS_11_15,A15_24_UOLSE_PinE_NS_16,A15_24_UOLSE_PinE_NS_17,A15_24_UOLSE_PinE_NS_18,A15_24_UOLSE_PinE_NS_19,A15_24_UOLSE_PinE_NS_20,A15_24_UOLSE_PinE_NS_21,A15_24_UOLSE_PinE_NS_YNS,A15_24_UOLSE_PinE_NS_T,A15_24_UOLSE_T_B_05,A15_24_UOLSE_T_05_10,A15_24_UOLSE_T_11_15,A15_24_UOLSE_T_16,A15_24_UOLSE_T_17,A15_24_UOLSE_T_18,A15_24_UOLSE_T_19,A15_24_UOLSE_T_20,A15_24_UOLSE_T_21,A15_24_UOLSE_T_YNS,A15_24_UOLSE_T_T,A15_24_L_PinE_NS_B_05,A15_24_L_PinE_NS_05_10,A15_24_L_PinE_NS_11_15,A15_24_L_PinE_NS_16,A15_24_L_PinE_NS_17,A15_24_L_PinE_NS_18,A15_24_L_PinE_NS_19,A15_24_L_PinE_NS_20,A15_24_L_PinE_NS_21,A15_24_L_PinE_NS_YNS,A15_24_L_PinE_NS_T,A15_24_T_B_05,A15_24_T_05_10,A15_24_T_11_15,A15_24_T_16,A15_24_T_17,A15_24_T_18,A15_24_T_19,A15_24_T_20,A15_24_T_21,A15_24_T_YNS,A15_24_T_T,A25_34_SEO_B_05,A25_34_SEO_05_10,A25_34_SEO_11_15,A25_34_SEO_16,A25_34_SEO_17,A25_34_SEO_18,A25_34_SEO_19,A25_34_SEO_20,A25_34_SEO_21,A25_34_SEO_YNS,A25_34_SEO_T,A25_34_UOLSE_VWW_B_05,A25_34_UOLSE_VWW_05_10,A25_34_UOLSE_VWW_11_15,A25_34_UOLSE_VWW_16,A25_34_UOLSE_VWW_17,A25_34_UOLSE_VWW_18,A25_34_UOLSE_VWW_19,A25_34_UOLSE_VWW_20,A25_34_UOLSE_VWW_21,A25_34_UOLSE_VWW_YNS,A25_34_UOLSE_VWW_T,A25_34_UOLSE_NWNAA_B_05,A25_34_UOLSE_NWNAA_05_10,A25_34_UOLSE_NWNAA_11_15,A25_34_UOLSE_NWNAA_16,A25_34_UOLSE_NWNAA_17,A25_34_UOLSE_NWNAA_18,A25_34_UOLSE_NWNAA_19,A25_34_UOLSE_NWNAA_20,A25_34_UOLSE_NWNAA_21,A25_34_UOLSE_NWNAA_YNS,A25_34_UOLSE_NWNAA_T,A25_34_UOLSE_PinE_NS_B_05,A25_34_UOLSE_PinE_NS_05_10,A25_34_UOLSE_PinE_NS_11_15,A25_34_UOLSE_PinE_NS_16,A25_34_UOLSE_PinE_NS_17,A25_34_UOLSE_PinE_NS_18,A25_34_UOLSE_PinE_NS_19,A25_34_UOLSE_PinE_NS_20,A25_34_UOLSE_PinE_NS_21,A25_34_UOLSE_PinE_NS_YNS,A25_34_UOLSE_PinE_NS_T,A25_34_UOLSE_T_B_05,A25_34_UOLSE_T_05_10
POA2600,..,13,25,3,9,0,9,25,3,0,82,..,7,19,3,9,0,11,4,0,0,62,..,0,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,0,..,7,19,3,9,0,19,4,0,0,65,..,0,0,0,0,0,0,0,0,0,0,..,15,42,5,14,3,28,26,5,7,148,23,39,8,0,0,3,0,5,0,0,72,8,9,16,6,8,0,10,3,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,16,8,8,0,10,3,0,0,56,0,0,0,0,0,0,0,0,0,0,0,29,48,27,8,3,3,7,9,0,0,131,51,13,17,0,4,6,3,3,7,0,104,36,25,23,8,8,10,12,6,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,25
POA2601,..,0,0,0,0,0,3,4,3,0,8,..,0,4,4,8,3,0,0,0,0,30,..,0,0,0,0,0,0,3,0,4,5,..,0,0,0,0,0,0,0,0,0,0,..,0,4,4,8,3,0,6,0,4,30,..,0,0,0,0,0,0,0,0,0,0,..,0,4,4,8,5,3,11,7,4,42,139,131,47,10,13,16,11,8,8,12,398,57,118,122,69,101,142,104,92,5,10,819,0,6,0,3,7,6,11,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,57,121,122,70,110,145,114,92,5,10,855,0,3,0,0,0,0,0,5,0,0,4,200,248,172,75,119,165,122,108,13,25,1253,67,17,21,3,8,13,14,9,9,3,172,59,70,204,86,94,101,95,48,3,9,759,0,3,7,0,5,3,4,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,58,72
POA2602,..,32,94,20,21,21,23,22,16,12,265,..,12,70,29,30,37,47,31,6,12,284,..,0,0,0,0,6,8,0,0,0,21,..,0,0,0,0,0,0,0,0,0,0,..,12,75,29,32,42,59,35,6,12,306,..,0,0,0,0,0,0,0,0,0,0,..,50,170,51,49,62,78,59,25,24,567,163,107,66,12,9,10,12,8,3,7,402,46,70,106,41,54,58,45,18,0,12,452,6,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,49,70,111,41,58,62,45,19,0,12,460,0,0,0,0,0,0,0,0,0,0,0,213,179,177,51,67,70,61,27,5,22,864,230,84,86,29,33,31,34,12,4,14,553,104,133,349,124,202,219,166,87,5,19,1394,3,4,19,4,10,6,16,4,0,0,71,0,0,0,0,0,0,0,0,0,0,7,106,133
POA2603,..,13,40,3,6,5,5,8,0,4,87,..,9,35,13,10,11,18,9,0,0,107,..,0,0,0,0,0,0,0,0,0,8,..,0,0,0,0,0,0,0,0,0,0,..,9,35,13,10,11,17,11,4,0,115,..,0,0,0,0,0,0,0,0,0,0,..,21,75,17,15,21,27,14,4,3,198,27,38,25,0,0,0,0,0,3,3,108,11,34,40,7,20,12,5,9,0,0,140,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,11,34,42,7,20,12,5,9,0,0,143,0,0,0,0,0,0,0,0,0,0,0,41,76,62,13,18,12,5,9,0,3,247,64,21,16,6,0,6,13,3,0,0,140,38,36,72,23,28,37,19,10,5,0,267,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,38,39
POA2604,..,16,29,7,9,12,3,4,0,4,83,..,6,37,5,10,25,18,3,0,4,118,..,0,0,0,0,0,5,3,0,0,8,..,0,0,0,0,0,0,0,0,0,3,..,6,37,5,10,25,27,7,3,4,126,..,0,0,0,0,0,0,0,0,0,0,..,25,69,12,17,35,31,8,9,6,213,35,30,8,3,0,0,3,0,0,6,88,24,30,47,10,13,11,10,6,0,3,166,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,24,30,47,16,18,11,10,6,0,10,171,0,0,0,0,0,0,0,0,0,0,0,58,61,60,17,19,17,16,7,0,14,263,123,25,36,7,14,13,6,9,3,15,261,57,47,102,43,66,49,40,11,4,5,417,0,0,3,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,57,43
POA2605,..,30,53,8,10,18,6,4,4,7,143,..,10,52,21,18,13,18,12,7,6,144,..,0,0,0,0,4,3,6,0,0,9,..,0,0,0,0,0,0,0,0,0,0,..,10,56,21,16,14,20,11,9,6,154,..,0,0,0,0,0,0,0,0,0,0,..,42,108,27,30,32,25,21,7,10,298,35,35,20,4,0,0,5,3,0,0,101,6,21,21,9,17,16,16,11,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,21,9,17,18,16,11,0,0,116,0,0,0,0,0,0,0,0,0,0,0,37,60,38,6,19,18,19,16,0,0,212,44,12,17,4,0,7,15,5,0,0,111,31,21,80,44,68,58,35,25,0,3,360,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,31,23
POA2606,..,3,29,17,13,11,5,10,7,6,83,..,4,47,12,20,20,31,13,0,0,147,..,0,0,0,0,5,0,4,3,3,8,..,0,0,0,0,0,0,0,0,0,3,..,4,45,12,20,28,27,15,3,3,163,..,0,0,0,0,0,0,0,0,0,0,..,8,70,26,29,32,31,21,12,6,247,18,29,14,3,4,4,7,0,0,0,84,12,38,45,23,56,63,44,15,0,7,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,38,45,24,56,63,42,15,0,7,304,0,0,0,0,0,0,0,0,0,0,0,28,68,62,30,59,66,54,15,0,14,389,81,34,29,20,7,9,10,0,6,4,199,78,87,337,137,229,237,133,44,7,21,1308,0,0,6,3,4,3,4,0,0,0,23,0,0,0,0,0,4,0,0,0,0,4,77,84
POA2607,..,18,35,7,13,15,12,5,5,3,119,..,10,41,27,22,18,18,19,0,8,156,..,0,0,0,0,0,3,0,0,0,7,..,0,0,0,0,0,0,0,0,0,0,..,10,41,27,27,15,23,20,0,5,169,..,0,0,0,0,0,0,0,0,0,0,..,29,83,34,36,30,33,27,5,10,284,29,26,20,0,3,3,0,0,0,0,86,26,34,25,11,25,18,18,12,0,5,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,34,25,11,25,18,18,13,0,5,173,0,0,0,0,0,0,0,0,0,0,0,53,62,41,11,26,18,18,11,0,8,253,44,9,22,9,11,4,8,0,0,0,99,38,56,135,61,66,65,51,14,0,12,498,0,0,8,0,6,0,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,38,59
POA2609,..,5,0,0,3,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,0,0,..,6,4,0,3,0,0,0,0,0,8,3,4,0,0,0,0,0,0,4,0,8,0,0,3,0,0,0,0,0,9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,11,0,0,0,0,0,0,0,0,0,0,0,5,7,4,0,0,0,0,0,5,0,29,3,3,0,0,0,0,0,0,0,0,9,3,3,12,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3
POA2611,..,25,119,22,15,25,16,25,13,5,271,..,40,182,33,44,27,27,18,27,26,413,..,0,0,0,4,0,0,11,11,5,35,..,0,0,0,0,0,0,0,0,0,0,..,40,181,36,49,26,25,33,32,25,454,..,0,0,0,0,0,0,0,0,0,0,..,65,298,54,68,48,46,62,49,38,723,67,78,55,6,4,0,6,7,0,5,224,45,134,112,41,34,39,45,19,8,9,494,0,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,45,134,111,43,33,43,51,21,8,9,503,0,0,0,0,0,0,0,0,0,0,0,116,209,166,47,41,45,51,25,10,17,725,160,60,77,24,13,18,14,10,3,8,384,145,216,489,172,154,150,111,34,4,12,1480,0,3,10,0,5,4,3,4,0,0,33,0,0,0,0,0,0,0,0,0,0,0,145,226
POA2612,..,16,22,3,0,5,8,13,3,0,69,..,0,13,3,10,12,16,15,0,0,81,..,0,0,0,0,3,5,9,0,0,17,..,0,0,0,0,0,0,0,0,0,5,..,0,13,3,16,14,17,20,0,5,95,..,0,0,0,0,0,0,0,0,0,0,..,14,36,10,18,22,24,34,8,5,170,164,138,56,7,11,6,13,6,3,9,411,63,86,82,44,72,67,89,16,12,7,533,0,0,0,0,0,9,3,6,5,0,17,0,0,0,0,0,0,0,0,0,0,0,63,86,82,44,75,71,95,18,14,8,544,0,0,0,0,0,0,0,0,0,0,0,226,215,132,51,89,76,103,25,15,19,950,278,75,92,28,29,36,33,26,15,13,622,147,107,290,125,135,108,107,27,19,19,1087,0,0,11,5,7,7,7,6,0,0,49,0,0,0,0,0,0,0,0,0,0,0,147,114
POA2614,..,14,46,8,15,11,13,3,0,6,124,..,12,55,25,20,32,19,11,4,4,179,..,0,0,0,0,0,14,0,0,0,19,..,0,0,0,0,0,0,0,0,0,3,..,12,52,25,23,32,33,12,4,4,205,..,0,0,0,0,0,0,0,0,0,0,..,27,101,38,39,49,50,16,8,9,329,41,61,18,9,3,0,3,3,0,3,152,26,28,49,14,34,37,30,14,3,3,243,0,0,0,0,0,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,26,28,48,14,36,37,33,14,3,3,249,0,0,0,0,0,0,0,0,0,0,0,66,88,71,26,44,41,35,22,3,6,400,92,17,44,8,11,11,16,0,0,0,201,51,76,216,79,106,128,87,32,0,18,793,0,7,6,3,5,6,7,4,0,8,36,0,0,0,0,0,0,0,0,0,0,0,51,85
POA2615,..,30,87,21,22,33,11,10,0,8,219,..,39,105,44,45,30,30,12,8,21,331,..,0,6,4,0,4,11,6,3,3,35,..,0,0,0,0,0,0,0,0,0,0,..,39,106,53,48,29,40,22,10,22,360,..,0,0,0,0,0,0,0,0,0,5,..,65,198,70,70,64,49,28,7,35,581,59,88,33,9,6,9,12,8,0,6,225,41,161,118,38,43,61,51,12,3,6,548,0,0,6,0,0,5,10,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,41,161,121,40,43,63,59,19,3,6,564,0,0,0,0,0,0,0,0,0,0,0,107,251,158,45,51,68,70,27,7,12,787,175,61,87,11,11,13,11,6,3,9,394,126,266,408,127,145,110,91,29,3,20,1316,3,13,20,12,12,7,6,0,0,3,79,0,0,0,0,0,0,0,0,0,0,0,123,279
POA2617,..,28,47,17,17,20,24,0,5,4,163,..,24,97,31,35,48,58,20,4,12,329,..,0,4,0,3,4,9,4,3,4,29,..,0,0,0,0,0,0,0,0,0,6,..,24,99,31,38,56,66,21,9,20,365,..,0,0,0,0,0,0,0,0,0,0,..,48,150,46,59,70,87,29,14,30,531,105,106,73,17,24,13,35,18,3,4,399,62,168,240,152,211,228,197,107,0,13,1366,0,0,8,5,6,10,5,7,0,4,41,0,0,0,0,0,0,0,0,0,0,0,62,171,248,150,220,237,201,108,0,18,1415,0,0,0,0,0,0,0,0,0,4,4,165,277,316,172,242,256,230,126,8,25,1818,200,99,104,50,26,35,36,18,0,15,591,192,340,1067,373,530,494,352,112,19,59,3539,5,11,39,12,27,38,31,4,3,3,175,0,0,4,0,0,0,0,0,0,0,8,196,349
POA2618,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,8,3,5,0,0,0,0,0,0,0,10,3,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
POA2900,..,0,6,0,0,0,3,0,0,3,19,..,5,18,8,0,0,0,0,0,0,33,..,0,0,0,0,0,4,0,0,0,5,..,0,0,0,0,0,0,0,0,0,0,..,5,18,8,0,0,3,0,0,0,33,..,0,0,0,0,0,0,0,0,0,0,..,0,22,5,3,5,6,3,0,4,52,13,4,9,0,0,0,0,0,0,4,31,0,8,9,6,4,8,7,3,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,6,4,8,10,3,0,0,47,0,0,0,0,0,0,0,0,0,0,0,12,17,20,6,9,7,8,3,0,0,81,33,9,11,3,4,4,6,0,0,0,70,25,43,106,50,42,41,17,4,0,3,328,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,25,43
POA2902,..,13,33,0,0,0,4,3,0,5,55,..,0,46,9,3,4,3,0,0,11,82,..,0,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,0,..,0,48,9,6,6,10,4,0,11,88,..,0,0,0,0,0,0,0,0,0,0,..,16,77,11,7,13,8,5,0,14,144,29,28,22,0,3,0,0,0,0,6,87,11,43,34,15,14,8,8,4,0,0,130,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,11,43,34,15,11,10,11,4,0,0,137,0,0,0,0,0,0,0,0,0,0,0,32,67,53,15,17,11,10,4,0,0,222,48,24,20,8,3,4,0,0,0,5,110,24,30,85,16,38,46,15,7,0,0,250,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,24,31
POA2903,..,3,15,9,0,0,0,0,0,0,31,..,8,33,6,5,19,6,0,0,3,72,..,0,0,0,0,0,5,0,0,0,8,..,0,0,0,0,0,0,0,0,0,0,..,8,33,6,5,17,6,0,0,3,82,..,0,0,0,0,0,0,0,0,0,0,..,14,50,9,5,17,12,4,0,3,110,18,20,4,0,0,0,0,0,0,4,42,0,26,12,9,7,12,5,0,0,0,70,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,26,12,9,7,12,12,0,0,3,75,0,0,0,0,0,0,0,0,0,0,0,20,43,14,5,7,12,10,0,0,8,118,35,7,5,0,0,0,0,4,0,5,55,22,20,65,21,25,34,17,7,0,0,209,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,22,20
POA2904,..,17,28,0,9,4,6,0,4,0,76,..,11,42,6,8,8,5,4,0,3,82,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,11,41,6,8,8,5,4,0,3,86,..,0,0,0,0,0,0,0,0,0,0,..,30,71,9,12,12,9,4,10,4,160,16,33,6,0,6,0,3,0,0,0,69,15,38,19,0,7,4,8,7,0,0,100,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,15,38,19,0,7,4,8,7,0,0,104,0,0,0,0,0,0,0,0,0,0,0,29,74,30,0,10,4,12,7,0,3,168,38,22,14,4,0,4,0,0,0,4,81,27,25,54,11,17,20,14,6,4,0,180,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,27,25
POA2905,..,7,46,11,3,7,5,7,0,5,96,..,27,59,20,17,20,16,0,0,3,164,..,0,0,0,4,0,4,0,0,0,9,..,0,0,0,0,0,0,0,0,0,0,..,27,59,22,20,20,14,3,5,6,173,..,0,0,0,0,0,0,0,0,0,0,..,34,108,29,21,24,22,8,0,9,267,27,47,26,8,0,3,6,3,0,6,120,23,69,73,11,27,17,15,3,0,3,243,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,23,69,76,11,27,17,15,3,0,3,255,0,0,0,0,0,0,0,0,0,0,0,50,123,104,17,27,22,18,8,0,5,370,92,21,46,9,7,8,3,3,0,0,201,53,99,180,46,38,41,32,6,8,6,507,0,0,3,3,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,4,50,100
POA2906,..,10,28,5,0,3,6,0,4,3,59,..,10,35,12,15,5,7,0,0,4,89,..,0,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,0,..,10,35,12,15,5,9,0,0,4,93,..,0,0,0,0,0,0,0,0,0,0,..,19,65,12,16,13,17,0,7,8,145,23,33,17,0,0,6,0,0,0,0,86,11,41,26,8,23,7,9,0,0,3,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,41,26,8,23,7,12,0,0,3,136,0,0,0,0,0,0,0,0,0,0,0,35,77,44,8,23,12,16,0,4,6,224,46,14,27,0,0,4,0,0,0,8,105,33,54,82,27,27,14,8,0,0,4,261,0,0,6,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,33,54
POA2911,..,0,17,5,0,4,0,0,0,0,25,..,8,20,5,7,0,0,4,5,3,47,..,0,0,0,0,0,3,0,0,0,5,..,0,0,0,0,0,0,0,0,0,0,..,8,20,5,7,0,3,3,8,3,53,..,0,0,0,0,0,0,0,0,0,0,..,10,34,6,7,5,3,0,8,6,83,4,9,13,0,3,0,3,0,0,0,29,18,37,21,12,7,8,10,4,0,4,109,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,18,40,21,12,9,8,9,4,0,4,114,0,0,0,0,0,0,0,0,0,0,0,19,46,27,8,12,10,7,6,0,4,144,29,8,8,4,0,0,4,0,0,0,59,38,61,87,26,32,19,14,7,0,3,292,0,0,10,0,0,5,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,38,62
POA2912,..,3,18,5,3,10,3,8,0,3,59,..,12,40,9,12,14,18,10,4,3,119,..,0,0,0,0,4,9,8,5,3,31,..,0,0,0,0,0,0,0,0,0,0,..,12,39,9,11,14,25,17,4,9,154,..,0,0,0,0,0,0,0,0,0,0,..,16,57,17,22,23,30,24,7,12,209,13,31,16,3,4,0,0,0,0,0,74,17,52,59,43,59,47,45,19,0,6,338,0,0,0,0,8,6,12,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,17,52,59,43,61,50,59,22,3,6,362,0,0,0,0,0,0,0,0,0,0,0,29,83,73,45,64,54,62,21,3,6,443,58,19,39,8,5,13,7,0,0,4,161,65,141,393,161,187,167,109,29,4,16,1270,7,11,28,9,19,22,21,4,0,0,111,0,0,0,0,0,0,0,0,0,0,0,67,147
POA2913,..,29,78,31,17,15,20,7,0,14,213,..,40,198,39,53,60,45,11,3,20,474,..,0,0,0,3,3,11,6,0,3,21,..,0,0,0,0,0,0,0,0,3,3,..,40,200,40,52,64,53,17,9,25,502,..,0,0,0,0,0,0,0,0,0,0,..,74,279,71,73,82,73,23,11,37,714,71,96,53,0,12,9,11,4,0,5,268,76,196,174,52,76,92,91,20,7,7,790,0,0,0,0,0,3,9,4,0,0,19,0,0,0,0,0,0,0,0,0,0,0,76,202,175,52,75,96,97,19,7,11,815,0,0,0,0,0,0,0,0,0,3,5,145,296,229,58,88,104,111,31,7,24,1086,191,82,101,17,17,11,22,7,0,12,468,179,446,904,240,311,252,178,36,10,39,2591,7,22,41,12,12,20,20,3,0,9,144,0,0,0,0,0,0,0,0,0,0,10,179,463
POA2914,..,45,136,20,36,15,23,17,4,12,305,..,85,242,51,53,58,50,15,3,18,581,..,0,4,0,0,6,9,8,3,0,27,..,0,0,0,0,0,0,0,0,0,6,..,88,247,51,58,66,55,24,6,22,620,..,0,0,0,0,0,0,0,0,0,0,..,134,382,75,92,81,76,36,16,34,929,49,113,92,4,13,6,7,5,0,5,301,117,272,185,46,77,90,73,33,5,15,905,3,5,0,0,4,5,6,0,0,14,43,0,0,0,0,0,0,0,0,0,0,0,121,274,185,46,79,92,81,32,5,31,947,0,0,0,0,0,0,0,0,0,0,3,171,386,277,49,94,98,94,40,7,33,1254,141,83,74,21,10,11,10,8,3,15,382,199,486,847,234,277,234,145,36,5,40,2506,6,24,44,17,20,13,13,8,0,20,160,0,4,0,0,0,0,0,0,0,0,5,208,506
