POA_CODE_2021,A25_34_UOLSE_T_11_15,A25_34_UOLSE_T_16,A25_34_UOLSE_T_17,A25_34_UOLSE_T_18,A25_34_UOLSE_T_19,A25_34_UOLSE_T_20,A25_34_UOLSE_T_21,A25_34_UOLSE_T_YNS,A25_34_UOLSE_T_T,A25_34_L_PinE_NS_B_05,A25_34_L_PinE_NS_05_10,A25_34_L_PinE_NS_11_15,A25_34_L_PinE_NS_16,A25_34_L_PinE_NS_17,A25_34_L_PinE_NS_18,A25_34_L_PinE_NS_19,A25_34_L_PinE_NS_20,A25_34_L_PinE_NS_21,A25_34_L_PinE_NS_YNS,A25_34_L_PinE_NS_T,A25_34_T_B_05,A25_34_T_05_10,A25_34_T_11_15,A25_34_T_16,A25_34_T_17,A25_34_T_18,A25_34_T_19,A25_34_T_20,A25_34_T_21,A25_34_T_YNS,A25_34_T_T,A35_44_SEO_B_05,A35_44_SEO_05_10,A35_44_SEO_11_15,A35_44_SEO_16,A35_44_SEO_17,A35_44_SEO_18,A35_44_SEO_19,A35_44_SEO_20,A35_44_SEO_21,A35_44_SEO_YNS,A35_44_SEO_T,A35_44_UOLSE_VWW_B_05,A35_44_UOLSE_VWW_05_10,A35_44_UOLSE_VWW_11_15,A35_44_UOLSE_VWW_16,A35_44_UOLSE_VWW_17,A35_44_UOLSE_VWW_18,A35_44_UOLSE_VWW_19,A35_44_UOLSE_VWW_20,A35_44_UOLSE_VWW_21,A35_44_UOLSE_VWW_YNS,A35_44_UOLSE_VWW_T,A35_44_UOLSE_NWNAA_B_05,A35_44_UOLSE_NWNAA_05_10,A35_44_UOLSE_NWNAA_11_15,A35_44_UOLSE_NWNAA_16,A35_44_UOLSE_NWNAA_17,A35_44_UOLSE_NWNAA_18,A35_44_UOLSE_NWNAA_19,A35_44_UOLSE_NWNAA_20,A35_44_UOLSE_NWNAA_21,A35_44_UOLSE_NWNAA_YNS,A35_44_UOLSE_NWNAA_T,A35_44_UOLSE_PinE_NS_B_05,A35_44_UOLSE_PinE_NS_05_10,A35_44_UOLSE_PinE_NS_11_15,A35_44_UOLSE_PinE_NS_16,A35_44_UOLSE_PinE_NS_17,A35_44_UOLSE_PinE_NS_18,A35_44_UOLSE_PinE_NS_19,A35_44_UOLSE_PinE_NS_20,A35_44_UOLSE_PinE_NS_21,A35_44_UOLSE_PinE_NS_YNS,A35_44_UOLSE_PinE_NS_T,A35_44_UOLSE_T_B_05,A35_44_UOLSE_T_05_10,A35_44_UOLSE_T_11_15,A35_44_UOLSE_T_16,A35_44_UOLSE_T_17,A35_44_UOLSE_T_18,A35_44_UOLSE_T_19,A35_44_UOLSE_T_20,A35_44_UOLSE_T_21,A35_44_UOLSE_T_YNS,A35_44_UOLSE_T_T,A35_44_L_PinE_NS_B_05,A35_44_L_PinE_NS_05_10,A35_44_L_PinE_NS_11_15,A35_44_L_PinE_NS_16,A35_44_L_PinE_NS_17,A35_44_L_PinE_NS_18,A35_44_L_PinE_NS_19,A35_44_L_PinE_NS_20,A35_44_L_PinE_NS_21,A35_44_L_PinE_NS_YNS,A35_44_L_PinE_NS_T,A35_44_T_B_05,A35_44_T_05_10,A35_44_T_11_15,A35_44_T_16,A35_44_T_17,A35_44_T_18,A35_44_T_19,A35_44_T_20,A35_44_T_21,A35_44_T_YNS,A35_44_T_T,A45_54_SEO_B_05,A45_54_SEO_05_10,A45_54_SEO_11_15,A45_54_SEO_16,A45_54_SEO_17,A45_54_SEO_18,A45_54_SEO_19,A45_54_SEO_20,A45_54_SEO_21,A45_54_SEO_YNS,A45_54_SEO_T,A45_54_UOLSE_VWW_B_05,A45_54_UOLSE_VWW_05_10,A45_54_UOLSE_VWW_11_15,A45_54_UOLSE_VWW_16,A45_54_UOLSE_VWW_17,A45_54_UOLSE_VWW_18,A45_54_UOLSE_VWW_19,A45_54_UOLSE_VWW_20,A45_54_UOLSE_VWW_21,A45_54_UOLSE_VWW_YNS,A45_54_UOLSE_VWW_T,A45_54_UOLSE_NWNAA_B_05,A45_54_UOLSE_NWNAA_05_10,A45_54_UOLSE_NWNAA_11_15,A45_54_UOLSE_NWNAA_16,A45_54_UOLSE_NWNAA_17,A45_54_UOLSE_NWNAA_18,A45_54_UOLSE_NWNAA_19,A45_54_UOLSE_NWNAA_20,A45_54_UOLSE_NWNAA_21,A45_54_UOLSE_NWNAA_YNS,A45_54_UOLSE_NWNAA_T,A45_54_UOLSE_PinE_NS_B_05,A45_54_UOLSE_PinE_NS_05_10,A45_54_UOLSE_PinE_NS_11_15,A45_54_UOLSE_PinE_NS_16,A45_54_UOLSE_PinE_NS_17,A45_54_UOLSE_PinE_NS_18,A45_54_UOLSE_PinE_NS_19,A45_54_UOLSE_PinE_NS_20,A45_54_UOLSE_PinE_NS_21,A45_54_UOLSE_PinE_NS_YNS,A45_54_UOLSE_PinE_NS_T,A45_54_UOLSE_T_B_05,A45_54_UOLSE_T_05_10,A45_54_UOLSE_T_11_15,A45_54_UOLSE_T_16,A45_54_UOLSE_T_17,A45_54_UOLSE_T_18,A45_54_UOLSE_T_19,A45_54_UOLSE_T_20,A45_54_UOLSE_T_21,A45_54_UOLSE_T_YNS,A45_54_UOLSE_T_T,A45_54_L_PinE_NS_B_05,A45_54_L_PinE_NS_05_10,A45_54_L_PinE_NS_11_15,A45_54_L_PinE_NS_16,A45_54_L_PinE_NS_17,A45_54_L_PinE_NS_18,A45_54_L_PinE_NS_19,A45_54_L_PinE_NS_20,A45_54_L_PinE_NS_21,A45_54_L_PinE_NS_YNS,A45_54_L_PinE_NS_T,A45_54_T_B_05,A45_54_T_05_10,A45_54_T_11_15,A45_54_T_16,A45_54_T_17,A45_54_T_18,A45_54_T_19,A45_54_T_20,A45_54_T_21,A45_54_T_YNS,A45_54_T_T,A55_64_SEO_B_05,A55_64_SEO_05_10,A55_64_SEO_11_15,A55_64_SEO_16,A55_64_SEO_17,A55_64_SEO_18,A55_64_SEO_19,A55_64_SEO_20,A55_64_SEO_21,A55_64_SEO_YNS,A55_64_SEO_T,A55_64_UOLSE_VWW_B_05,A55_64_UOLSE_VWW_05_10,A55_64_UOLSE_VWW_11_15,A55_64_UOLSE_VWW_16
POA2600,23,8,8,10,12,6,0,0,131,0,0,0,0,0,0,0,0,0,0,0,85,39,38,11,12,11,17,13,7,0,231,89,17,14,0,3,3,5,6,0,0,151,79,60,51,6,11,3,15,6,0,3,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,63,51,6,11,3,15,3,0,3,229,0,0,0,0,0,0,0,0,0,0,0,164,81,67,5,9,10,22,15,0,4,379,137,17,6,0,0,0,4,13,5,3,177,96,26,20,3,4,3,5,0,3,0,165,3,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,101,29,20,3,9,3,3,0,3,0,175,0,0,0,0,0,0,0,0,0,0,0,236,45,19,5,14,7,5,11,4,8,351,196,6,8,0,0,0,0,3,0,0,218,84,0,0,0
POA2601,206,86,95,102,98,46,5,9,782,0,0,0,0,0,0,0,0,0,0,3,121,92,229,89,101,121,117,58,17,11,957,30,14,14,4,0,0,7,3,0,0,75,47,44,45,12,10,16,14,12,4,0,205,0,0,5,0,3,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,47,39,48,9,18,19,11,12,4,0,213,0,0,0,0,0,0,0,0,0,0,0,78,50,64,16,19,19,21,18,6,0,289,50,6,3,3,0,0,0,3,0,0,66,24,17,15,3,0,3,3,4,0,3,72,0,0,0,3,6,3,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,29,17,15,9,7,4,12,4,0,3,84,0,0,0,0,0,0,0,0,0,0,0,74,17,17,7,7,4,7,5,3,6,152,44,0,0,0,0,5,0,0,0,0,49,30,0,6,0
POA2602,370,131,210,223,183,90,3,25,1469,0,0,0,0,0,0,0,0,0,3,3,335,220,454,155,245,254,213,96,8,38,2030,352,113,80,11,5,14,17,10,6,20,627,212,210,291,55,66,68,64,29,3,6,1009,8,16,30,6,6,7,3,3,0,3,84,0,0,0,0,0,0,0,0,0,0,0,220,223,321,58,74,75,68,31,3,10,1092,0,0,0,0,0,0,0,0,0,0,0,570,342,402,80,78,89,81,46,9,27,1720,541,48,39,6,0,8,6,0,3,13,664,349,77,63,4,9,8,14,4,0,9,538,14,14,23,0,16,12,7,7,0,0,90,0,0,0,0,0,0,0,0,0,0,0,358,90,81,9,24,20,23,11,0,9,632,0,0,0,0,0,0,0,0,0,0,0,899,137,126,10,23,26,23,7,3,22,1294,576,21,12,0,4,0,0,0,0,8,629,272,19,13,5
POA2603,71,23,28,41,24,10,4,0,275,0,0,0,0,0,0,0,0,0,0,0,104,57,89,33,35,48,36,7,3,0,417,93,30,19,0,0,5,3,0,0,0,153,91,69,70,11,11,13,9,8,0,7,279,0,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,91,68,72,15,11,10,10,8,4,7,298,0,0,0,0,0,0,0,0,0,0,0,179,96,88,17,12,14,13,9,5,4,447,176,21,8,3,0,4,0,5,0,6,223,119,52,33,4,0,4,6,9,0,0,233,3,8,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,126,58,31,4,7,4,6,9,0,0,247,0,0,0,0,0,0,0,0,0,0,0,307,78,43,5,9,9,4,7,4,6,468,213,10,7,0,0,0,0,3,0,0,236,123,6,9,0
POA2604,109,43,66,48,40,8,4,5,432,0,0,0,0,0,0,0,0,0,0,0,181,72,143,53,82,64,45,20,11,18,688,132,39,30,3,0,3,9,4,3,6,235,128,111,100,18,21,33,17,8,0,9,444,4,6,4,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,130,112,104,18,23,32,17,8,0,7,458,0,0,0,0,0,0,0,0,0,0,0,264,158,134,25,24,32,27,9,0,17,688,195,20,18,0,4,8,0,3,0,5,247,137,50,52,13,0,3,13,8,0,0,279,0,6,0,0,3,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,139,54,51,12,6,5,17,6,0,0,295,0,0,0,0,0,0,0,0,0,0,0,332,76,69,12,4,9,16,11,3,6,544,237,10,9,5,3,0,0,3,0,0,273,124,6,5,0
POA2605,80,44,70,61,35,24,0,3,366,0,0,0,0,0,0,0,0,0,0,0,71,38,96,49,70,64,53,23,3,4,473,113,25,22,5,0,4,5,4,0,3,186,97,137,133,26,24,24,19,4,0,3,472,4,0,5,3,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,103,139,139,28,24,28,21,5,0,6,486,0,0,0,0,0,0,0,0,0,0,3,217,165,157,30,26,33,25,7,5,12,680,195,22,21,3,5,7,0,0,0,8,254,104,35,17,8,3,8,7,0,0,0,195,4,8,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,105,45,22,7,10,8,4,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,302,64,41,11,6,16,10,0,0,8,464,245,5,7,0,0,0,0,0,0,0,258,109,7,4,0
POA2606,343,147,230,241,133,50,5,21,1335,0,0,0,0,0,0,0,0,0,3,3,161,120,375,158,235,250,144,48,13,19,1536,90,37,34,3,3,3,6,0,6,3,193,98,153,223,41,50,49,34,14,8,5,673,4,4,11,4,0,0,3,4,0,0,27,0,0,0,0,0,0,0,0,0,0,0,100,152,225,46,54,54,37,16,8,4,704,0,0,0,0,0,0,0,0,0,0,0,191,192,262,52,58,58,43,16,5,9,899,132,17,14,0,0,4,3,5,0,0,169,112,74,55,5,7,12,10,6,6,0,274,6,8,8,0,3,4,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,122,75,61,5,10,13,13,0,6,0,304,0,0,0,0,0,0,0,0,0,0,0,251,93,77,5,10,17,13,3,3,3,478,173,5,0,0,0,0,0,0,0,5,190,126,14,8,0
POA2607,135,61,72,65,47,14,8,12,513,0,0,0,0,0,0,0,0,0,0,6,82,65,160,73,80,70,57,15,8,12,617,129,26,33,4,6,5,3,0,0,4,219,133,127,137,31,36,29,18,9,0,0,522,0,4,0,0,4,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,137,130,136,31,45,31,26,12,0,0,542,0,0,0,0,0,0,0,0,0,0,0,269,156,172,26,50,37,24,14,0,11,755,189,27,16,6,3,0,3,4,0,3,256,162,74,32,5,8,6,4,0,0,0,293,3,4,4,0,0,0,4,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,164,75,40,7,7,11,7,0,0,3,312,0,0,0,0,0,0,0,0,0,0,0,359,99,56,8,11,11,9,4,0,12,567,300,5,8,0,0,0,0,0,0,4,330,229,9,3,0
POA2609,12,0,0,0,0,0,9,0,27,0,0,0,0,0,0,0,0,0,0,0,10,8,12,0,0,0,0,0,10,0,36,4,0,0,0,0,0,0,0,0,3,11,3,3,7,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,10,3,10,0,0,0,0,0,0,4,31,10,0,0,0,0,0,0,0,0,0,11,7,3,5,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,15,3,3,0,0,0,0,0,0,0,25,18,0,3,0,0,0,0,0,0,0,21,10,0,0,0
POA2611,498,172,161,152,117,36,7,8,1514,0,0,0,0,0,0,0,0,0,0,0,306,282,574,190,176,166,127,46,17,19,1903,353,101,63,5,12,11,6,9,5,7,570,423,635,525,61,51,45,37,16,24,29,1850,16,16,18,8,4,0,8,7,0,6,73,0,3,0,0,0,0,0,0,0,0,3,436,649,542,70,62,47,46,20,27,29,1931,0,0,0,0,0,0,0,0,0,0,5,790,754,605,77,68,60,50,32,35,44,2502,433,57,48,5,6,3,0,0,3,10,569,382,181,136,15,14,4,4,8,10,9,767,13,9,14,3,0,0,3,7,0,0,47,0,0,0,0,0,0,0,0,0,0,0,396,183,152,18,10,4,12,10,12,7,811,0,0,0,0,0,0,0,0,0,0,0,832,239,201,24,14,10,13,16,15,19,1380,575,17,8,4,0,0,0,5,0,9,619,302,40,30,3
POA2612,306,125,138,116,111,36,19,23,1144,0,0,0,0,0,0,0,0,0,0,0,431,184,394,155,172,144,144,61,36,36,1767,161,47,46,7,5,8,12,17,3,0,317,130,101,136,28,30,26,25,25,5,3,507,3,3,5,0,0,3,9,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,128,109,145,27,28,26,32,25,5,3,536,0,0,0,0,0,0,0,0,0,0,0,289,152,198,35,34,34,47,46,11,5,855,201,20,28,0,6,0,7,0,0,4,269,112,35,22,5,10,0,10,9,4,0,196,7,3,0,0,4,0,4,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,113,38,26,5,10,4,13,9,4,5,219,0,0,0,0,0,0,0,0,0,0,0,313,60,51,0,15,0,13,13,3,7,495,273,7,5,0,0,0,0,0,0,4,300,121,14,6,3
POA2614,225,84,108,131,96,42,0,22,830,0,0,0,0,0,0,0,0,0,0,4,144,102,266,93,115,139,110,42,0,24,1031,180,40,27,3,4,9,6,0,4,4,285,124,155,186,41,46,34,30,16,3,0,624,5,7,13,4,4,0,5,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,125,162,201,39,54,40,34,16,3,0,669,0,0,0,0,0,0,0,0,0,0,0,303,206,232,46,63,47,42,15,4,4,959,274,27,24,4,0,0,4,0,0,6,329,186,52,40,11,7,0,3,3,0,0,303,12,8,10,0,0,0,3,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,194,62,49,14,5,0,7,3,0,3,346,0,0,0,0,0,0,0,0,0,0,0,467,87,75,17,9,0,11,6,0,4,681,330,22,5,0,0,0,0,0,3,5,364,201,23,12,0
POA2615,425,138,159,126,92,24,5,21,1399,0,0,0,0,0,0,0,0,0,4,4,298,346,513,151,167,139,108,33,12,28,1795,369,114,99,12,11,10,6,3,0,7,627,368,594,378,74,56,43,33,12,5,15,1571,13,42,31,7,4,11,5,3,0,4,126,0,0,0,0,0,0,0,0,0,0,0,382,633,414,85,58,51,42,16,5,20,1700,0,0,0,0,0,0,0,0,0,0,0,749,743,507,96,67,61,49,19,4,29,2332,515,63,44,5,0,3,4,4,0,10,643,485,226,104,15,4,6,10,6,0,10,862,34,38,21,0,6,0,5,4,0,0,112,0,0,0,0,0,0,0,0,0,0,0,521,255,122,17,12,14,12,10,0,10,973,0,0,0,0,0,0,0,0,0,0,0,1033,324,166,25,11,16,14,10,0,21,1620,681,21,19,0,0,0,4,0,0,14,742,458,76,23,0
POA2617,1109,396,559,539,379,116,19,63,3721,0,0,0,0,0,0,0,0,0,5,12,400,445,1212,449,590,577,413,136,23,81,4324,251,99,72,12,12,10,10,6,3,15,485,409,460,445,95,89,70,52,32,15,6,1664,10,24,35,13,17,9,7,0,0,3,121,0,0,0,0,0,0,0,0,0,0,0,419,488,481,105,106,85,59,31,14,9,1790,0,0,0,0,0,0,0,0,0,0,0,670,581,554,118,115,85,68,37,17,28,2273,350,44,42,3,4,0,5,0,3,14,461,402,158,86,10,17,12,25,6,0,0,719,26,21,21,3,19,8,15,6,0,5,121,0,0,0,0,0,0,0,0,0,0,4,426,188,103,16,36,15,38,7,0,10,843,0,0,0,0,0,0,0,0,0,0,3,773,229,148,23,45,18,38,7,4,23,1303,438,15,16,3,0,0,0,0,0,4,477,494,42,17,0
POA2618,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,3,5,0,0,0,5,0,0,0,17,0,3,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,3,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,8,3,3,3,0,0,0,0,0,0,17,21,4,0,0,0,0,0,0,0,0,26,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,27,3,0,0,0,0,0,0,0,0,34,23,0,0,0,0,0,0,0,0,0,25,8,0,0,0
POA2900,110,50,42,35,17,4,0,4,334,0,0,0,0,0,0,0,0,0,0,7,57,53,126,55,46,44,19,8,0,9,410,33,12,7,3,4,0,0,0,0,0,65,35,54,73,15,8,4,0,0,0,0,202,0,3,3,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,0,3,35,58,80,15,8,6,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,70,70,86,20,10,9,0,0,0,7,278,37,16,12,0,0,0,0,0,0,0,64,25,11,12,0,0,5,0,3,0,0,51,3,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,27,13,10,0,3,5,0,3,0,0,60,0,0,0,0,0,0,0,0,0,0,0,64,21,17,0,6,5,0,3,0,4,122,65,12,0,0,0,0,0,0,0,0,86,28,4,0,0
POA2902,87,16,33,45,16,4,0,0,263,0,0,0,0,0,0,0,0,0,0,0,70,55,106,23,42,50,13,4,0,7,380,98,35,27,8,0,0,0,0,0,5,174,81,105,81,10,5,11,4,7,0,0,304,0,3,7,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,83,116,88,11,8,11,4,7,0,3,328,0,0,0,0,0,0,0,0,0,0,0,177,153,117,16,13,16,4,7,0,3,500,229,17,17,0,0,0,3,0,0,8,286,95,60,42,3,4,4,0,0,0,0,205,5,10,11,4,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,98,66,52,3,4,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,327,89,74,5,4,3,3,0,0,11,519,303,11,4,0,0,0,0,0,0,7,318,127,6,10,0
POA2903,65,21,25,34,18,7,0,0,214,0,0,0,0,0,0,0,0,0,0,0,53,35,72,21,25,37,22,11,0,3,271,58,20,19,8,4,0,0,0,0,5,110,55,79,69,4,8,10,0,0,0,5,232,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,55,84,77,5,7,10,0,0,0,5,240,0,0,0,0,0,0,0,0,0,0,0,105,104,90,9,13,9,0,0,0,5,351,143,11,3,0,0,0,0,0,0,4,157,84,33,26,0,3,0,0,0,0,3,149,0,4,0,0,0,5,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,85,38,27,0,7,6,0,0,0,5,163,0,0,0,0,0,0,0,0,0,0,0,229,47,25,0,7,7,0,0,0,3,326,166,7,0,0,0,0,0,0,0,3,175,111,10,5,4
POA2904,60,11,17,20,12,6,4,0,187,0,0,0,0,0,0,0,0,0,0,0,65,49,71,19,17,24,12,6,4,6,271,95,33,18,4,0,3,0,0,5,0,156,81,91,80,10,4,4,3,0,0,0,283,5,6,6,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,87,87,86,7,4,4,7,0,0,0,287,0,0,0,0,0,0,0,0,0,0,3,181,122,103,8,11,8,7,0,3,9,453,134,20,16,0,3,0,4,0,0,0,185,115,62,26,0,4,0,3,5,0,0,209,0,3,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,115,65,31,0,4,0,4,5,0,0,219,0,0,0,0,0,0,0,0,0,0,0,246,84,46,0,10,4,3,5,0,7,402,297,11,7,0,0,0,0,0,0,5,316,205,19,3,0
POA2905,183,47,43,42,33,6,8,6,515,0,0,0,0,0,0,0,0,0,0,0,146,129,225,54,47,50,33,9,9,9,720,191,45,26,5,0,5,0,3,0,6,276,157,198,194,24,9,13,16,0,0,3,616,0,15,11,7,0,3,3,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,165,210,209,30,9,16,18,0,0,3,664,0,0,0,0,0,0,0,0,0,0,0,355,256,234,34,10,24,15,3,0,9,943,317,28,21,0,0,0,3,3,0,3,373,283,128,72,8,0,0,0,0,0,7,501,13,10,19,0,4,0,3,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,300,137,88,9,3,0,3,0,0,7,552,0,0,0,0,0,0,0,0,0,0,0,617,168,102,9,6,0,4,7,0,11,929,585,21,11,0,0,3,0,0,0,15,644,361,38,8,0
POA2906,91,23,30,17,11,0,0,0,271,0,0,0,0,0,0,0,0,0,0,0,82,73,115,26,30,20,13,0,0,8,371,119,24,24,4,4,0,0,0,0,3,177,110,142,109,15,8,4,9,0,0,4,405,3,9,0,4,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,117,150,112,21,8,4,7,0,0,4,419,0,0,0,0,0,0,0,0,0,0,0,230,175,129,20,11,4,12,3,0,8,601,246,30,9,0,0,0,0,0,0,3,291,214,62,34,0,3,0,5,0,0,5,323,13,8,9,0,0,0,0,0,0,0,27,3,0,0,0,0,0,0,0,0,0,6,220,72,39,3,3,0,5,0,0,5,355,0,0,0,0,0,0,0,0,0,0,0,468,101,52,3,3,3,5,0,0,6,641,413,10,4,0,0,0,0,0,0,10,435,270,18,5,0
POA2911,99,26,35,19,17,7,0,6,319,0,0,0,0,0,0,0,0,0,0,5,64,77,110,31,36,24,18,7,0,6,375,48,14,11,0,0,0,0,0,0,4,77,157,178,77,10,15,7,4,0,6,0,457,0,8,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,152,183,83,11,15,10,4,0,6,3,472,0,0,0,0,0,0,0,0,0,0,0,197,205,89,16,15,10,4,8,6,0,545,59,7,7,0,0,0,0,0,0,0,72,119,55,17,0,0,0,0,0,0,0,200,3,7,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,123,63,17,0,6,0,3,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,180,71,23,0,3,0,3,0,0,0,287,43,6,0,0,0,0,0,0,0,0,43,69,16,0,0
POA2912,419,170,201,184,134,31,4,16,1383,0,0,0,0,0,0,0,0,0,0,0,128,169,458,182,208,199,139,38,4,22,1547,44,20,19,0,4,8,0,0,0,0,99,145,177,169,32,41,30,26,10,3,0,636,11,11,31,0,9,16,11,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,157,193,200,27,53,43,38,15,3,4,731,0,0,0,0,0,0,0,0,0,0,0,200,209,221,29,55,49,42,18,5,9,825,74,13,7,0,0,0,0,0,0,0,98,165,53,35,6,0,3,3,4,0,5,278,13,15,10,4,10,5,5,7,0,3,68,0,0,0,0,0,0,0,0,0,0,0,178,66,49,11,9,6,10,12,0,9,346,0,0,0,0,0,0,0,0,0,0,0,251,75,52,11,13,9,10,16,0,7,449,69,5,5,0,0,0,0,0,0,0,86,151,9,10,0
POA2913,943,252,331,272,204,40,10,50,2741,0,0,0,0,0,0,0,0,0,0,6,369,543,1048,272,345,288,223,52,10,64,3212,283,112,74,14,5,9,7,4,0,10,509,651,1065,602,78,88,71,38,15,4,14,2622,15,57,63,7,14,14,12,7,0,3,197,0,5,5,0,0,0,0,0,0,0,3,672,1124,670,82,100,82,53,20,4,21,2823,0,0,0,0,0,0,0,0,0,3,8,953,1232,742,96,105,88,59,23,7,28,3343,396,72,59,9,4,6,3,0,0,10,554,751,284,161,28,8,18,7,7,5,7,1271,48,56,24,6,15,3,15,13,0,6,178,0,0,3,0,0,0,0,0,0,0,3,795,339,185,33,20,18,24,12,5,11,1451,5,0,0,0,0,0,0,0,0,0,0,1192,413,242,37,30,25,29,12,9,20,2009,443,40,16,3,0,4,4,0,0,4,506,681,85,31,5
POA2914,890,251,300,249,161,46,4,56,2671,0,0,5,0,0,0,0,0,0,10,16,352,596,967,276,311,263,170,51,6,80,3071,297,102,82,10,11,10,13,0,5,9,550,860,1236,665,83,71,65,37,17,9,27,3063,19,67,52,7,16,9,15,4,0,4,190,0,0,0,0,0,0,0,0,0,0,7,878,1299,714,92,88,71,54,22,9,30,3257,0,0,0,0,0,0,0,0,0,4,3,1179,1402,802,105,100,80,66,25,11,40,3812,340,100,74,6,7,5,10,5,0,5,548,754,412,177,20,8,7,4,0,0,10,1394,31,53,21,4,14,7,7,7,0,5,151,0,0,0,0,0,0,0,0,0,0,0,788,464,197,18,21,16,15,11,0,18,1544,0,0,0,0,0,0,0,0,0,0,0,1127,562,270,24,25,22,27,7,0,20,2094,225,26,18,0,3,0,0,4,0,0,282,425,89,29,0
