SA3_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arrival_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,United_States_America_2016,United_States_America_2017,United_States_America_2018,United_States_America_2019,United_States_America_2020,United_States_America_2021,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_NS,Tot_Tot
80101,0,0,11,37,150,158,282,274,46,66,70,85,44,3,15,1249,9,4,19,27,86,24,26,23,0,4,0,0,0,0,0,227,3,6,12,35,27,21,48,24,5,3,10,6,5,4,6,215,0,6,13,40,43,65,125,57,11,24,25,24,8,6,4,449,0,5,10,16,86,73,173,132,35,31,27,21,10,6,4,632,0,0,0,0,8,23,37,41,15,0,10,11,0,0,7,149,0,0,0,19,32,36,121,96,16,22,13,27,0,0,11,403,119,433,885,615,404,220,393,233,40,20,27,36,17,3,58,3503,10,4,37,69,90,94,154,117,18,32,22,22,19,7,14,704,0,0,10,118,227,196,258,207,52,54,44,45,19,5,40,1270,82,174,479,503,584,596,1048,785,224,233,338,321,127,24,95,5606,396,1208,2368,2233,2758,2763,5808,4922,1430,1715,1691,1485,585,124,549,30044
80103,0,0,0,0,4,0,10,4,0,0,4,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,8,5,3,8,9,3,4,4,5,0,0,0,0,0,0,4,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,4,5,3,3,3,10,15,0,3,0,0,0,4,11,70,6,14,26,30,23,26,52,65,0,18,3,6,10,18,55,338
80104,0,0,5,18,145,172,293,284,56,62,49,62,17,5,16,1176,0,0,4,3,56,33,20,10,0,0,3,0,5,0,0,137,0,3,8,22,35,27,89,37,10,7,3,3,7,0,3,251,0,4,5,14,29,62,200,218,15,29,19,24,9,0,7,628,0,3,3,13,118,218,393,240,25,35,26,15,7,0,4,1114,0,0,0,8,15,17,42,62,9,9,7,4,3,0,3,178,0,0,0,20,27,52,125,68,10,12,12,4,3,0,8,342,24,139,360,287,199,178,412,252,48,40,45,32,9,8,23,2057,0,0,12,34,26,49,106,89,19,16,26,25,17,4,3,433,0,0,0,129,269,213,243,156,48,46,43,32,22,0,30,1238,15,55,190,297,453,596,1404,752,202,184,160,197,61,16,74,4648,75,389,991,1291,2366,3458,9829,6802,1470,1761,1596,1477,539,121,555,32717
80105,0,0,3,14,35,42,73,68,23,14,31,27,10,0,3,340,4,7,8,7,40,17,16,3,0,3,5,0,0,0,3,117,0,0,6,12,18,24,60,32,5,23,11,7,11,7,3,231,0,0,11,33,38,53,111,23,0,4,10,16,0,3,3,310,0,0,0,8,38,47,58,50,14,14,16,16,4,0,11,273,0,0,0,0,8,16,29,39,12,14,5,14,8,0,3,145,0,0,5,13,12,16,59,36,6,20,19,14,3,0,8,211,57,180,417,318,256,246,543,207,34,25,24,42,30,17,61,2452,0,11,23,63,64,99,163,122,30,23,25,46,46,23,8,751,0,0,0,49,82,62,92,82,29,43,28,24,15,0,13,531,36,91,146,240,238,326,507,468,129,190,258,298,160,30,69,3194,167,550,1016,1136,1428,1802,3304,2736,822,1065,1115,1110,639,166,350,17419
80106,0,0,0,10,29,21,29,47,12,8,13,20,3,3,0,199,12,6,7,11,41,6,6,8,0,0,0,0,0,0,0,109,3,3,7,12,13,16,23,22,7,6,3,0,0,0,0,109,0,10,5,22,30,31,54,17,8,5,0,7,3,5,0,198,0,0,3,20,34,42,41,37,0,6,5,4,0,0,0,198,0,0,0,0,10,7,24,15,11,5,8,0,3,0,0,86,0,0,5,9,6,8,21,11,4,12,0,7,0,0,0,85,60,140,335,239,180,136,173,109,12,20,23,13,27,8,34,1490,0,8,23,39,49,35,82,52,9,22,18,25,40,9,9,420,0,0,0,49,40,15,16,12,0,0,5,4,7,0,5,158,30,47,146,164,136,207,244,207,36,52,68,87,52,15,31,1507,175,446,772,826,958,1007,1515,1116,249,312,315,320,208,70,161,8450
80107,0,0,5,47,162,106,222,219,40,36,38,38,19,11,26,964,4,11,18,13,118,36,17,10,0,0,0,5,0,0,7,227,5,7,15,24,31,26,25,22,5,3,3,0,0,0,3,158,0,3,10,35,43,61,91,92,5,5,3,17,0,0,4,375,0,6,20,37,137,91,107,67,7,9,4,6,0,0,4,490,0,0,0,0,3,6,9,10,0,5,0,0,0,0,0,35,0,0,0,17,52,63,85,43,11,14,7,8,7,4,6,309,89,345,1028,661,432,211,368,176,9,20,8,15,9,6,70,3450,4,3,19,61,58,74,89,56,14,18,18,18,5,5,0,432,0,0,3,133,176,66,72,48,11,8,6,10,9,0,15,561,57,153,466,612,582,425,610,368,56,83,67,63,24,9,66,3635,271,963,2285,2342,2698,1978,3436,2619,485,474,486,377,141,47,365,18963
80108,0,0,0,14,35,13,33,36,15,7,6,8,13,16,10,189,4,4,3,7,29,7,4,0,0,0,4,0,0,0,0,61,0,4,5,10,5,0,6,4,0,0,4,0,0,0,4,39,0,3,8,22,18,26,40,12,0,4,0,7,7,0,6,147,0,0,8,4,17,13,18,12,0,0,0,0,0,9,0,87,0,0,0,3,5,4,0,5,0,0,0,0,0,0,0,25,0,3,5,3,8,11,15,17,3,0,3,7,6,0,4,72,33,120,332,174,126,69,126,76,12,5,5,0,8,0,24,1116,6,6,9,20,14,29,34,21,5,0,0,3,9,0,0,175,0,0,0,4,14,6,18,19,0,5,3,0,0,0,5,84,25,52,189,114,131,118,157,106,23,33,13,18,16,21,35,1051,138,365,832,560,652,579,901,688,134,155,114,119,93,84,170,5565
80109,0,0,5,18,41,32,113,176,49,50,61,46,20,6,11,623,4,9,6,15,37,9,4,0,0,0,3,0,0,0,0,96,0,3,5,17,25,17,19,16,3,3,0,0,0,3,4,119,0,6,6,21,16,25,56,27,11,4,4,9,0,0,3,190,0,3,8,13,86,60,79,41,3,5,9,11,6,4,6,334,0,0,0,0,7,8,11,7,0,0,3,0,0,0,0,41,0,0,3,7,15,17,36,25,5,4,0,4,6,0,5,119,57,198,421,226,199,115,158,116,20,16,21,13,4,3,38,1605,0,3,27,45,35,43,70,43,10,17,7,30,11,7,8,345,0,0,6,49,26,20,29,23,8,0,4,4,0,0,3,166,60,103,203,182,189,211,273,267,96,137,152,186,90,14,36,2205,225,643,1049,931,1233,1089,1970,1896,575,768,749,599,281,81,226,12302
80110,0,0,0,6,13,17,48,99,33,15,11,20,5,3,4,287,0,0,0,0,14,0,11,4,0,0,0,0,0,0,0,27,0,0,3,0,6,0,8,11,0,0,0,0,0,0,0,41,0,0,0,9,7,3,5,5,0,0,3,0,0,0,0,36,0,0,0,0,8,26,61,49,4,4,3,7,0,0,0,165,0,0,0,0,0,4,12,6,0,4,3,0,0,0,0,28,0,0,0,0,7,7,18,9,0,0,3,0,5,0,7,57,0,13,36,27,28,27,37,55,7,0,5,6,0,3,0,253,0,0,0,0,8,7,9,10,0,13,13,10,25,3,0,94,0,0,0,15,8,13,17,3,3,5,0,0,0,0,6,74,0,5,8,36,41,66,189,162,26,31,38,36,21,16,9,693,7,27,69,124,280,384,1391,1245,280,224,229,210,116,41,55,4681
80111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,4,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,11,0,0,6,8,8,4,7,3,0,0,0,6,0,0,0,53
89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,3,0,3,0,0,0,0,0,5,26,0,0,10,7,15,14,12,18,6,0,3,9,3,5,13,121
